Genome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
24,8,8,0,0,0,0,15,8,8,8,4,16,8,8,16,16,16,10,8,16,16,16,0,16,16,0,16,0,16,16,16,16,22,16,8,23,21,20,24,20,16,24,17,26,24,18,16,29,60,23,17,24,16,60,21,8,60,60,22,24,60,54,63,63,44,21,24,63,27,28,8,26,0,63,30,30,63,29,63,8,16,18,63,63,29,8,24,63,31,46,29,63,63,25,12,36,63,16,63,63
25,8,0,0,0,8,8,2,8,11,14,16,11,16,12,16,11,16,6,16,8,13,16,8,9,8,16,16,0,16,8,0,16,16,5,8,20,15,16,16,20,22,8,18,17,8,8,2,26,21,21,24,8,8,16,60,12,31,24,24,60,60,20,25,29,24,47,15,8,63,8,16,63,63,62,61,63,22,54,32,8,32,29,28,22,8,54,28,8,63,63,45,29,55,63,28,63,16,54,61,16
26,8,0,0,0,8,0,12,12,0,0,13,0,8,8,16,10,8,8,0,16,0,20,16,8,16,16,16,0,16,16,16,24,8,0,8,8,23,0,16,16,16,0,25,20,19,24,0,60,20,16,16,22,0,8,16,60,8,16,24,60,24,22,24,24,61,24,24,47,63,63,8,60,26,29,45,63,26,24,63,0,29,26,63,12,55,29,63,54,63,63,63,63,16,46,26,54,63,55,0,47
27,8,8,8,8,7,0,0,8,11,0,0,13,9,0,16,7,0,13,0,16,0,0,0,16,0,16,16,8,16,16,16,16,16,20,16,27,8,16,16,20,8,26,23,21,24,20,22,24,20,16,24,28,60,25,14,21,24,16,8,44,60,63,63,25,61,27,60,22,25,12,28,63,63,30,63,63,63,29,25,63,28,27,8,29,53,18,8,63,29,63,32,55,16,55,63,54,55,63,63,46
28,8,0,8,0,0,8,8,8,8,0,8,0,0,12,16,14,16,16,16,16,16,16,8,14,8,10,0,0,16,16,16,16,16,16,8,16,8,16,8,26,16,19,17,23,25,16,24,60,16,8,44,16,17,19,8,61,24,8,60,24,60,24,24,16,63,24,20,4,28,63,16,63,26,63,53,8,26,63,63,63,25,63,63,63,54,45,16,45,9,8,54,31,55,31,33,55,16,32,63,46
29,8,8,0,8,8,10,0,16,12,8,11,8,6,8,8,8,12,12,14,16,0,8,0,13,16,0,16,16,16,16,21,8,14,8,27,11,8,19,16,16,24,16,21,8,16,8,24,6,0,8,25,21,8,60,8,60,60,26,60,24,60,25,0,52,16,28,29,0,8,63,25,23,8,63,0,63,63,28,0,23,25,63,63,8,63,32,63,55,63,25,63,28,30,55,16,27,26,16,16,52
30,8,0,0,8,0,8,8,8,5,8,8,0,15,16,16,13,16,16,16,16,16,16,14,16,16,16,16,21,16,16,16,8,16,16,20,27,20,16,20,21,21,8,20,25,26,19,16,21,60,11,21,16,16,19,20,24,24,60,16,61,26,16,8,8,55,25,28,60,22,28,63,28,29,0,63,63,27,26,63,29,8,24,63,19,6,63,55,63,63,30,63,63,63,63,55,63,16,15,63,95
31,8,0,8,0,0,8,0,8,8,13,12,8,16,0,10,0,10,8,16,11,15,13,16,0,16,8,16,16,16,16,16,8,20,0,16,20,21,16,20,20,24,16,8,25,21,8,20,16,8,17,24,8,16,8,60,60,60,56,60,44,60,27,25,28,60,0,63,8,24,18,60,1,16,63,29,63,47,16,63,45,46,46,45,55,62,27,26,45,63,47,27,63,63,63,19,0,33,46,16,63
32,8,8,0,14,0,0,10,16,8,16,0,16,10,15,8,16,8,9,13,0,15,13,16,0,16,8,16,16,16,8,17,16,17,16,20,16,20,8,23,16,25,20,16,60,26,16,30,8,18,24,26,30,16,5,19,8,22,24,60,8,60,24,52,8,52,4,20,8,19,8,32,24,8,22,28,8,22,28,16,63,63,63,55,46,63,63,8,8,0,63,63,38,35,98,61,16,16,55,30,54
33,8,8,0,0,5,0,8,0,13,11,0,16,14,12,4,14,16,16,12,16,16,16,8,24,16,16,8,16,0,8,19,16,16,16,20,20,16,16,20,20,12,16,60,11,25,16,0,23,25,24,21,8,17,26,60,24,60,52,24,8,60,8,8,60,63,60,63,3,26,24,25,20,26,29,26,55,25,25,8,63,63,8,8,63,55,30,63,16,63,63,63,63,63,63,54,31,46,54,55,55
